,date,account_value
71,2019-04-19,94436334.8
72,2019-04-22,94436334.8
73,2019-04-23,92303842.3
74,2019-04-24,92158325.8
75,2019-04-25,92024785.14999999
76,2019-04-26,91891244.5
77,2019-05-02,91891244.5
78,2019-05-03,91891244.5
79,2019-05-06,91891244.5
80,2019-05-07,91891244.5
81,2019-05-08,91891244.5
82,2019-05-09,91891244.5
83,2019-05-10,93064943.05
84,2019-05-13,95676743.05
85,2019-05-14,95538665.05
86,2019-05-15,95538665.05
87,2019-05-16,95947833.39999999
88,2019-05-17,95398833.39999999
89,2019-05-20,95259001.75
90,2019-05-21,95259001.75
91,2019-05-22,95259001.75
92,2019-05-23,95122780.0
93,2019-05-24,94022980.0
94,2019-05-27,93888407.95
95,2019-05-28,92374127.35
96,2019-05-29,92238010.9
97,2019-05-30,91138864.3
98,2019-05-31,91003260.85000001
99,2019-06-03,91003260.85000001
100,2019-06-04,91003260.85000001
101,2019-06-05,91149647.65
102,2019-06-06,90452147.65
103,2019-06-07,90320162.20000002
104,2019-06-10,90320162.20000002
105,2019-06-11,90320162.20000002
106,2019-06-12,89980418.95000002
107,2019-06-13,89849788.90000002
108,2019-06-14,90068644.60000001
109,2019-06-17,89939579.20000002
110,2019-06-18,89322713.80000001
111,2019-06-19,89194380.10000002
112,2019-06-20,89194380.10000002
113,2019-06-21,90596633.20000002
114,2019-06-24,88928033.20000002
115,2019-06-25,89135033.20000002
116,2019-06-26,89205233.20000002
117,2019-06-27,89076377.05000003
118,2019-06-28,89076377.05000003
119,2019-07-01,89076377.05000003
120,2019-07-02,89076377.05000003
121,2019-07-03,89076377.05000003
122,2019-07-04,89083511.35000002
123,2019-07-05,89083511.35000002
124,2019-07-08,88951837.75000003
125,2019-07-09,89378449.90000002
126,2019-07-10,89378449.90000002
127,2019-07-11,89248027.75000003
128,2019-07-12,88282197.70000002
129,2019-07-15,87726897.70000002
130,2019-07-16,88282197.70000002
131,2019-07-17,88152820.45000002
132,2019-07-18,88152820.45000002
133,2019-07-19,89622115.45000002
134,2019-07-22,89489711.50000003
135,2019-07-23,89289468.25000003
136,2019-07-24,89428968.25000003
137,2019-07-25,89297919.70000003
138,2019-07-26,89297919.70000003
139,2019-07-29,88471418.65000002
140,2019-07-30,88342562.50000003
141,2019-07-31,88342562.50000003
142,2019-08-01,88909718.20000002
143,2019-08-02,88769318.20000002
144,2019-08-05,87379718.20000002
145,2019-08-06,87252425.35000002
146,2019-08-07,87252425.35000002
147,2019-08-08,87252425.35000002
148,2019-08-09,87196482.70000002
149,2019-08-12,86919282.70000002
150,2019-08-13,86793450.55000003
151,2019-08-14,87197653.55000003
152,2019-08-15,87060045.05000003
153,2019-08-16,87060045.05000003
154,2019-08-19,87155271.45000002
155,2019-08-20,87126311.85000002
156,2019-08-21,87126311.85000002
157,2019-08-22,87126311.85000002
158,2019-08-23,87126311.85000002
159,2019-08-26,87126311.85000002
160,2019-08-27,85958386.35000002
161,2019-08-28,86236486.35000002
162,2019-08-29,86111907.00000003
163,2019-08-30,86111907.00000003
164,2019-09-03,86111907.00000003
165,2019-09-04,86111907.00000003
166,2019-09-05,86111907.00000003
167,2019-09-06,86111907.00000003
168,2019-09-09,87166379.85000002
169,2019-09-10,86609279.85000002
170,2019-09-11,86480214.45000003
171,2019-09-12,86283517.65000002
172,2019-09-13,86352817.65000002
173,2019-09-16,86225420.85000002
174,2019-09-17,86803039.05000001
175,2019-09-18,86673097.50000001
176,2019-09-19,86673097.50000001
177,2019-09-20,85480889.55000001
178,2019-09-23,85351373.25000001
179,2019-09-24,86916709.50000001
180,2019-09-25,86563009.50000001
181,2019-09-26,89108209.50000001
182,2019-09-27,89179309.50000001
183,2019-09-30,88944908.25000001
184,2019-10-01,87695748.30000001
185,2019-10-02,86989248.30000001
186,2019-10-03,88404048.30000001
187,2019-10-04,88120548.30000001
188,2019-10-07,88475148.30000001
189,2019-10-08,88404048.30000001
190,2019-10-09,86989248.30000001
191,2019-10-10,86989248.30000001
192,2019-10-11,87695748.30000001
193,2019-10-14,88120548.30000001
194,2019-10-15,87909948.30000001
195,2019-10-16,89394048.30000001
196,2019-10-17,89817948.30000001
197,2019-10-18,90879048.30000001
198,2019-10-21,90738498.45000002
199,2019-10-22,89818280.85000001
200,2019-10-23,89676080.85000001
201,2019-10-24,89887580.85000001
202,2019-10-25,91232180.85000001
203,2019-10-28,90737180.85000001
204,2019-10-29,90595252.65000002
205,2019-10-30,90595252.65000002
206,2019-10-31,89041334.70000002
207,2019-11-01,90737834.70000002
208,2019-11-04,90597392.85000002
209,2019-11-05,90597392.85000002
210,2019-11-06,90597392.85000002
211,2019-11-07,90597392.85000002
212,2019-11-08,90597392.85000002
213,2019-11-11,90597392.85000002
214,2019-11-12,90597392.85000002
215,2019-11-13,89048248.50000001
216,2019-11-14,88915125.00000001
217,2019-11-15,86732277.60000001
218,2019-11-18,85176177.60000001
219,2019-11-19,87722277.60000001
220,2019-11-20,87438777.60000001
221,2019-11-21,86023977.60000001
222,2019-11-22,85671177.60000001
223,2019-11-25,86660277.60000001
224,2019-11-26,86529912.15000002
225,2019-11-27,86529912.15000002
226,2019-11-28,86529912.15000002
227,2019-11-29,85977395.85000001
228,2019-12-02,83712995.85000001
229,2019-12-03,82370195.85000001
230,2019-12-04,84066695.85000001
231,2019-12-05,83360195.85000001
232,2019-12-06,82299995.85000001
233,2019-12-09,83573495.85000001
234,2019-12-10,83642795.85000001
235,2019-12-11,83926295.85000001
236,2019-12-12,84350195.85000001
237,2019-12-13,83501495.85000001
238,2019-12-16,83996495.85000001
239,2019-12-17,82865195.85000001
240,2019-12-18,83926295.85000001
241,2019-12-19,84704795.85000001
242,2019-12-20,84917195.85000001
243,2019-12-23,84789904.35000001
244,2019-12-24,84789904.35000001
245,2019-12-25,84789904.35000001
246,2019-12-26,84664736.4
247,2019-12-27,84539568.45000002
248,2019-12-30,83201718.00000001
249,2019-12-31,83201718.00000001
250,2020-01-02,83077084.65000002
251,2020-01-03,83236252.80000001
252,2020-01-06,82593652.80000001
253,2020-01-07,83377552.80000001
254,2020-01-08,83591752.80000001
255,2020-01-09,83448652.80000001
256,2020-01-10,83663752.80000001
257,2020-01-13,83536551.75000001
258,2020-01-14,83695355.85000001
259,2020-01-15,83695355.85000001
260,2020-01-16,83569333.35000001
261,2020-01-17,83728182.9
262,2020-01-20,83601304.50000001
263,2020-01-21,83601304.50000001
264,2020-01-22,83601304.50000001
265,2020-01-30,83601304.50000001
266,2020-01-31,77699464.50000001
267,2020-02-03,77583390.15000002
268,2020-02-04,75114029.10000002
269,2020-02-05,76254329.10000002
270,2020-02-06,76897829.10000002
271,2020-02-07,78822929.10000002
272,2020-02-10,78705034.95000003
273,2020-02-11,77305024.65000004
274,2020-02-12,77190339.45000003
275,2020-02-13,76861454.25000003
276,2020-02-14,76646354.25000003
277,2020-02-17,76532313.00000003
278,2020-02-18,76532313.00000003
279,2020-02-19,77062047.60000002
280,2020-02-20,76948218.30000003
281,2020-02-21,78331089.00000003
282,2020-02-24,76834389.00000003
283,2020-02-25,77974689.00000003
284,2020-02-26,75835389.00000003
285,2020-02-27,75723058.20000003
286,2020-02-28,73539959.70000003
287,2020-03-02,73539959.70000003
288,2020-03-03,74110559.70000003
289,2020-03-04,73755059.70000003
290,2020-03-05,73642940.85000004
291,2020-03-06,73642940.85000004
292,2020-03-09,68396967.30000004
293,2020-03-10,71749467.30000004
294,2020-03-11,71677467.30000004
295,2020-03-12,71178867.30000004
296,2020-03-13,69894567.30000004
297,2020-03-16,68396967.30000004
298,2020-03-17,67684167.30000004
299,2020-03-18,66970467.30000004
300,2020-03-19,62690967.30000004
