date,BID,BVH,CTG,FPT,GAS,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,REE,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
2019-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2019-12-04,-2000,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2019-12-05,1900,0,0,0,0,0,0,0,0,0,0,0,0,-1500,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-09,-1900,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
2019-12-10,0,0,0,0,0,0,0,0,200,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-2100
2019-12-11,0,0,0,0,0,0,0,0,0,-1300,0,0,0,1400,0,100,0,0,0,-100,0,0,0,0,0,0,0,0
2019-12-12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-13,0,0,0,1800,0,0,0,0,-300,0,0,0,0,-1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-16,0,1000,0,-1800,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0
2019-12-17,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7300,-100,0,0,0,0,0,0,0
2019-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2019-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-20,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,-7000,0,0,800,0,0,0,0,0
2019-12-23,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-800,0,0,0,0,0
2019-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-25,-1500,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,800,0,0,0,0,0
2019-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,100
2019-12-27,100,0,-100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,-100
2019-12-30,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0
