,date,actions
452,2020-10-23,[0]
453,2020-10-26,[0]
454,2020-10-27,[0]
455,2020-10-28,[0]
456,2020-10-29,[0]
457,2020-10-30,[0]
458,2020-11-02,[0]
459,2020-11-03,[0]
460,2020-11-04,[0]
461,2020-11-05,[0]
462,2020-11-06,[0]
463,2020-11-09,[0]
464,2020-11-10,[0]
465,2020-11-11,[0]
466,2020-11-12,[0]
467,2020-11-13,[0]
468,2020-11-16,[0]
469,2020-11-17,[0]
470,2020-11-18,[0]
471,2020-11-19,[0]
472,2020-11-20,[0]
473,2020-11-23,[0]
474,2020-11-24,[0]
475,2020-11-25,[0]
476,2020-11-26,[0]
477,2020-11-27,[0]
478,2020-11-30,[0]
479,2020-12-01,[0]
480,2020-12-02,[0]
481,2020-12-03,[0]
482,2020-12-04,[0]
483,2020-12-07,[0]
484,2020-12-08,[0]
485,2020-12-09,[0]
486,2020-12-10,[0]
487,2020-12-11,[0]
488,2020-12-14,[0]
489,2020-12-15,[0]
490,2020-12-16,[0]
491,2020-12-17,[0]
492,2020-12-18,[0]
493,2020-12-21,[0]
494,2020-12-22,[0]
495,2020-12-23,[0]
496,2020-12-24,[0]
497,2020-12-25,[0]
498,2020-12-28,[0]
499,2020-12-29,[0]
500,2020-12-30,[0]
501,2020-12-31,[0]
502,2021-01-04,[0]
503,2021-01-05,[0]
504,2021-01-06,[0]
505,2021-01-07,[0]
506,2021-01-08,[0]
507,2021-01-11,[0]
508,2021-01-12,[0]
509,2021-01-13,[0]
510,2021-01-14,[0]
511,2021-01-15,[0]
512,2021-01-18,[0]
513,2021-01-19,[0]
514,2021-01-20,[0]
515,2021-01-21,[0]
516,2021-01-22,[0]
517,2021-01-25,[0]
518,2021-01-26,[0]
519,2021-01-27,[0]
520,2021-01-28,[0]
521,2021-01-29,[0]
522,2021-02-01,[0]
523,2021-02-02,[0]
524,2021-02-03,[0]
525,2021-02-04,[0]
526,2021-02-05,[0]
527,2021-02-08,[0]
528,2021-02-09,[0]
529,2021-02-17,[0]
530,2021-02-18,[0]
531,2021-02-19,[0]
532,2021-02-22,[0]
533,2021-02-23,[0]
534,2021-02-24,[0]
535,2021-02-25,[0]
536,2021-02-26,[0]
537,2021-03-01,[0]
538,2021-03-02,[0]
539,2021-03-03,[0]
540,2021-03-04,[0]
541,2021-03-05,[0]
542,2021-03-08,[0]
543,2021-03-09,[0]
544,2021-03-10,[0]
545,2021-03-11,[0]
546,2021-03-12,[0]
547,2021-03-15,[0]
548,2021-03-16,[0]
549,2021-03-17,[0]
550,2021-03-18,[0]
551,2021-03-19,[0]
552,2021-03-22,[0]
553,2021-03-23,[0]
554,2021-03-24,[0]
555,2021-03-25,[0]
556,2021-03-26,[0]
557,2021-03-29,[0]
558,2021-03-30,[0]
559,2021-03-31,[0]
560,2021-04-01,[0]
561,2021-04-02,[0]
562,2021-04-05,[0]
563,2021-04-06,[0]
564,2021-04-07,[0]
565,2021-04-08,[0]
566,2021-04-09,[0]
567,2021-04-12,[0]
568,2021-04-13,[0]
569,2021-04-14,[0]
570,2021-04-15,[0]
571,2021-04-16,[0]
572,2021-04-19,[0]
573,2021-04-20,[0]
574,2021-04-22,[0]
575,2021-04-23,[0]
576,2021-04-26,[0]
577,2021-04-27,[0]
578,2021-04-28,[0]
579,2021-04-29,[0]
580,2021-05-04,[0]
581,2021-05-05,[0]
582,2021-05-06,[0]
583,2021-05-07,[0]
584,2021-05-10,[0]
585,2021-05-11,[0]
586,2021-05-12,[0]
587,2021-05-13,[0]
588,2021-05-14,[0]
589,2021-05-17,[0]
590,2021-05-18,[0]
591,2021-05-19,[0]
592,2021-05-20,[0]
593,2021-05-21,[0]
594,2021-05-24,[0]
595,2021-05-25,[0]
596,2021-05-26,[0]
597,2021-05-27,[0]
598,2021-05-28,[0]
599,2021-05-31,[0]
600,2021-06-01,[0]
601,2021-06-02,[0]
602,2021-06-03,[0]
603,2021-06-04,[0]
604,2021-06-07,[0]
605,2021-06-08,[0]
606,2021-06-09,[0]
607,2021-06-10,[0]
608,2021-06-11,[0]
609,2021-06-14,[0]
610,2021-06-15,[0]
611,2021-06-16,[0]
612,2021-06-17,[0]
613,2021-06-18,[0]
614,2021-06-21,[0]
615,2021-06-22,[0]
616,2021-06-23,[0]
617,2021-06-24,[0]
618,2021-06-25,[0]
619,2021-06-28,[0]
620,2021-06-29,[0]
